,CREDIT SCORE,FIRST_PAYMENT_DATE,FIRST_TIME_HOMEBUYER_FLAG,MATURITY_DATE,MSA_CODE,MI_PERCENTAGE,NUMBER_OF_UNITS,OCCUPANCY_STATUS,ORIGINAL_CLTV,DTI,ORIGINAL_UPB,ORIGINAL_LTV,ORIGINAL_INTEREST_RATE,CHANNEL,PPM_FLAG,Amortization_type,STATE,PROPERTY TYPE,POSTAL CODE,id_loan,LOAN_PURPOSE,ORIGINAL_LOAN_TERM,NUMBER_BORROWERS,SELLER NAME,Servicer_Name,SUPER CONFORMING FLAG,LSN,PROGRAM INDICATOR,HARP_INDICATOR,PROPERTY_VALUATION_METHOD,IO_INDICATOR
0,776,202103,N,205102,,0,1,P,52,12,68000,52,2.5,R,N,FRM,IL,SF,61300,F21Q11275826,N,360,1,Other sellers,Other servicers,,,9,,3,N
1,746,202103,N,205102,,30,1,P,95,33,76000,95,2.875,R,N,FRM,NY,SF,14800,F21Q11275887,P,360,1,Other sellers,Other servicers,,,9,,2,N
2,760,202103,N,205102,,0,1,P,78,23,206000,78,2.75,R,N,FRM,WI,SF,54400,F21Q11275970,N,360,2,Other sellers,Other servicers,,,9,,1,N
3,722,202103,N,205102,16984.0,25,1,P,89,40,353000,89,2.875,R,N,FRM,IL,PU,60500,F21Q11276042,N,360,2,Other sellers,Other servicers,,,9,,1,N
4,761,202103,N,205102,29020.0,0,1,P,56,50,128000,56,2.75,R,N,FRM,IN,SF,46900,F21Q11276052,C,360,1,Other sellers,Other servicers,,,9,,2,N
5,675,202103,N,203602,,0,1,P,37,27,47000,37,2.625,R,N,FRM,PA,SF,17700,F21Q11276063,N,180,1,Other sellers,Other servicers,,,9,,2,N
6,799,202103,N,205102,17140.0,0,1,P,64,18,290000,64,2.875,R,N,FRM,OH,SF,45100,F21Q11276153,N,360,2,Other sellers,Other servicers,,,9,,1,N
7,785,202103,N,205102,33340.0,0,1,P,75,30,313000,75,2.875,R,N,FRM,WI,SF,53100,F21Q11276176,N,360,2,Other sellers,Other servicers,,,9,,1,N
8,692,202103,N,203602,41180.0,0,1,P,70,32,185000,70,2.875,R,N,FRM,IL,SF,62200,F21Q11276194,C,180,2,Other sellers,Other servicers,,,9,,2,N
9,732,202103,N,205102,,0,1,P,80,17,104000,80,3.125,R,N,FRM,IN,SF,46700,F21Q11276273,N,360,2,Other sellers,Other servicers,,,9,,1,N
10,757,202103,N,204102,26900.0,0,1,P,63,32,180000,63,3.25,R,N,FRM,IN,SF,46000,F21Q11276508,C,240,1,Other sellers,Other servicers,,,9,,2,N
11,809,202103,N,205102,40060.0,0,1,P,69,34,213000,69,2.75,R,N,FRM,VA,SF,23100,F21Q11276577,N,360,1,Other sellers,Other servicers,,,9,,2,N
12,725,202103,N,205102,35614.0,0,1,P,49,24,460000,49,2.875,R,N,FRM,NY,SF,11200,F21Q11276621,C,360,2,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",,,9,,1,N
13,720,202103,N,203602,33124.0,0,1,P,39,44,160000,39,2.875,R,N,FRM,FL,SF,33100,F21Q11276689,C,180,2,Other sellers,Other servicers,,,9,,2,N
14,794,202103,N,203602,48620.0,12,1,P,88,29,332000,88,2.25,R,N,FRM,KS,SF,67200,F21Q11276733,N,180,1,Other sellers,Other servicers,,,9,,1,N
15,794,202103,N,203602,,0,1,P,40,19,79000,40,2.125,R,N,FRM,KY,SF,42100,F21Q11277045,C,180,2,Other sellers,Other servicers,,,9,,2,N
16,724,202104,N,203603,41180.0,0,1,P,60,49,282000,60,2.375,R,N,FRM,MO,SF,63300,F21Q11277195,N,180,2,Other sellers,Other servicers,,,9,,2,N
17,749,202103,N,205102,29100.0,0,1,P,80,47,110000,80,2.875,R,N,FRM,WI,SF,54600,F21Q11277198,N,360,2,Other sellers,Other servicers,,,9,,1,N
